countries,total_collected_msw_(t),food,garden,paper,plastic,glass,metal,rubber_and_leather,textile,other,scenario,co₂_emissions_reduction_potential
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,Digest + retrofit,-0.5969129843423893
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,All strategies (C),-0.7984564921711946
Malaysia,10017072.166666666,44.5,7.14,8.5,13.0,3.0,2.0,3.1,0.0,18.8,All strategies (D),-0.7984564921711946
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Compost organics,-0.1995270737075347
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Digest organics,-0.1995270737075347
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Retrofit landfill,-0.1421552066586666
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Half waste,-0.5
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Compost + retrofit,-0.30131020167514
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,Digest + retrofit,-0.30131020167514
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,All strategies (C) ,-0.65065510083757
Mexico,35429275.99758103,53.1979695431472,0.0,14.01015228426396,11.065989847715736,5.98984771573604,3.451776649746193,0.0,0.0,12.284263959390865,All strategies (D),-0.65065510083757
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Compost organics,-0.5166117044782585
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Digest organics,-0.5166117044782585
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Retrofit landfill,-0.1899627494689164
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Half waste,-0.5
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Compost + retrofit,-0.5768625159259754
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,Digest + retrofit,-0.5768625159259754
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,All strategies (C),-0.7884312579629877
Morocco,4127766.6286582975,68.57142857142857,0.0,10.285714285714285,9.142857142857142,2.2857142857142856,2.857142857142857,0.0,0.0,6.857142857142858,All strategies (D),-0.7884312579629877
Netherlands,9238146.666666666,35.03503503503504,0.0,21.02102102102102,14.014014014014014,5.405405405405405,4.304304304304304,0.0,0.0,20.260260260260257,Compost organics,-0.0832042191998714
Netherlands,9238146.666666666,35.03503503503504,0.0,21.02102102102102,14.014014014014014,5.405405405405405,4.304304304304304,0.0,0.0,20.260260260260257,Digest organics,-0.0832042191998714
Netherlands,9238146.666666666,35.03503503503504,0.0,21.02102102102102,14.014014014014014,5.405405405405405,4.304304304304304,0.0,0.0,20.260260260260257,Retrofit landfill,0.0
